	0
alpha_proteobacterium_SCGC_AAA536-G10_(unscreened)	0
alpha_proteobacterium_SCGC_AAA536-K22_(unscreened)	1
gamma_proteobacterium_SCGC_AAA076-P09_(unscreened)	1
gamma_proteobacterium_SCGC_AAA168-P09_(unscreened)	1
gamma_proteobacterium_SCGC_AAA300-D14_(unscreened)	1
gamma_proteobacterium_SCGC_AAA536-J20_(unscreened)	1
gamma_proteobacterium_SCGC_AAA536-N21_(unscreened)	1
Oceanospirillales_bacterium_SCGC_AAA298-N10_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA300-N18_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA164-P11_(unscreened)	1
Flavobacterium_sp._SCGC_AAA160-P02_(unscreened)	1
Flavobacterium_sp._SCGC_AAA536-G18_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA164-A08_(unscreened)	0
Verrucomicrobia_bacterium_SCGC_AAA164-B23_(unscreened)	0
Verrucomicrobia_bacterium_SCGC_AAA164-I21_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA164-M04_(unscreened)	0
Verrucomicrobia_bacterium_SCGC_AAA164-N20_(unscreened)	1
gamma_proteobacterium_SCGC_AAA076-D02_(unscreened)	1
gamma_proteobacterium_SCGC_AAA076-D13_(unscreened)	1
gamma_proteobacterium_SCGC_AAA160-D02_(unscreened)	0
gamma_proteobacterium_SCGC_AAA076-P13_(unscreened)	1
gamma_proteobacterium_SCGC_AAA168-I18_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA164-E04_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA168-E21	1
gamma_proteobacterium_SCGC_AAA076-E13_(unscreened)	1
alpha_proteobacterium_SCGC_AAA160-J14_(unscreened)	1
alpha_proteobacterium_SCGC_AAA158-M15_(unscreened)	0
alpha_proteobacterium_SCGC_AAA076-C03_(unscreened)	1
alpha_proteobacterium_SCGC_AAA015-N04_(unscreened)	1
Flavobacterium_sp._SCGC_AAA536-P05_(unscreened)	0
alpha_proteobacterium_SCGC_AAA158-B04_(unscreened)	1
alpha_proteobacterium_SCGC_AAA015-O19_(unscreened)	1
alpha_proteobacterium_SCGC_AAA288-G21_(unscreened)	1
alpha_proteobacterium_SCGC_AAA298-K06_(unscreened)	0
alpha_proteobacterium_SCGC_AAA300-B11_(unscreened)	1
alpha_proteobacterium_SCGC_AAA288-N07_(unscreened)	1
Verrucomicrobia_bacterium_SCGC_AAA168-F10	1
gamma_proteobacterium_SCGC_AAA076-F14_(unscreened)	1
candidate_division_OP8_b3cf1.2.f09_(contamination_screened)	0
candidate_division_WS3_b1dcf5.1.c12_(contamination_screened)	0
candidate_division_WS3_b1bcf1.1.f04_(contamination_screened)	0
alpha_proteobacterium_SCGC_AAA487-M09_(unscreened)	0
alpha_proteobacterium_SCGC_AAA023-L09_(unscreened)	0
alpha_proteobacterium_SCGC_AAA028-C07_(unscreened)	0
alpha_proteobacterium_SCGC_AAA536-B06_(unscreened)	1
alpha_proteobacterium_SCGC_AAA240-E13_(unscreened)	2
alpha_proteobacterium_SCGC_AAA288-E13_(unscreened)	1
alpha_proteobacterium_SCGC_AAA300-J04_(unscreened)	0
alpha_proteobacterium_SCGC_AAA300-J16_(unscreened)	0
gamma_proteobacterium_SCGC_AAA008-P15_(unscreened)	1
gamma_proteobacterium_SCGC_AAA240-I17_(unscreened)	0
Verrucomicrobia_bacterium_SCGC_AAA300-K03_(unscreened)	1
alpha_proteobacterium_SCGC_AAA024-N17_(unscreened)	1
alpha_proteobacterium_SCGC_AAA280-P20_(unscreened)	1
alpha_proteobacterium_SCGC_AAA027-J10_(unscreened)	1
alpha_proteobacterium_SCGC_AAA027-L15_(unscreened)	0
alpha_proteobacterium_SCGC_AAA280-B11_(unscreened)	1
Thermomicrobium_sp._HL1	2
SAR202_cluster_bacterium_sp._SCGC_AAA240-N13_(unscreened)	1
Nitrospina_sp._SCGC_AAA288-L16_(unscreened)	1
alpha_proteobacterium_SCGC_AAA027-C06_(unscreened)	1
actinobacterium_SCGC_AAA024-D14_(unscreened)	0
Spirochaetes_bacterium_SCGC_AAA257-G10_(unscreened)	0
Spirochaetes_bacterium_SCGC_AAA257-P05_(unscreened)	2
Firmicutes_bacterium_JGI_0000059-G16_(unscreened)	3
Parcubacteria_bacterium_SCGC_AAA255-P19_(contamination_screened)	1
Parcubacteria_bacterium_SCGC_AAA040-L21_(contamination_screened)	1
Gallionella_sp._SCGC_AAA018-N21_(unscreened)	2
BRC1_bacterium_SCGC_AAA257-C11_(contamination_screened)	1
BRC1_bacterium_SCGC_AAA252-M09_(contamination_screened)	0
Aerophobetes_bacterium_SCGC_AAA255-F10_(contamination_screened)	1
Aerophobetes_bacterium_JGI_0000014-C22_(contamination_screened)	0
Aerophobetes_bacterium_JGI_0000014-A15_(contamination_screened)	1
Aerophobus_bacterium_SCGC_AAA252-L23_(contamination_screened)	0
Fervidibacteria_bacterium_JGI_0000001-B9_(contamination_screened)	1
Fervidibacteria_bacterium_JGI_0000001-D5_(contamination_screened)	1
Fervidibacteria_bacterium_JGI_0000001-G10_(contamination_screened)	1
